,textID,text,label,label_text
14951,7627d7ca56,Hi : Found you through . i am indeed a pigment of your imagination,1,neutral
6051,7527ed21ee,"I`m so unhappy being here. I hate it. It`s affecting everything. My relationships with people, my personality, my attitude...",0,negative
12712,2f6d9d1419,  #stackeoverflow  http://bit.ly/13Nfk1,1,neutral
2930,9afe83da6a,I`m completely exhausted thanks to yesterday.  Can I go home yet?,0,negative
2174,322b61740c,"90 degrees, gross skies, and thunderstorms...perfect match for my mood  lol",2,positive
8350,01e1f59fac,cant believe i stay out this late!.....waking up for work in T-minus 4hours,0,negative
10356,02fef838dd,_nobel ? ? ?????????????  = ?????? ?????? ?????? ?? ????,1,neutral
4140,80c985a159,"Omg, my mom just called... Im too late... Hes gone",0,negative
18493,5a67377ff3,Engaged May 1st to the best guy  I could not be happier! I love you Jay!,2,positive
12923,0047d39e8b, Un mesaj de eroare: ForbiddenYou don`t have permission to access /photo/3180758.jpg on this server. Am ghicit?,1,neutral
12815,c55a76ce0f,Sushi joint was closed  but still had a nice lunch w/ Angel!,2,positive
14129,060d3914fa,"Whoops! Start Trek,...not Start! Duh.",0,negative
13150,32a95ba694, why do you think so?,1,neutral
4843,a01e5d1ddf,it`s beeen onee year,1,neutral
1606,c777057df0,missed the #jonaswebcast,1,neutral
6248,673f656f29," Oh I believe you...   sooo  thinks she belongs elsewhere, I say I dont think so...",2,positive
9688,fcb7fc2325,I`m havin the stupid stomach pain again & again... Today is my outing with SPH frenz & my stomach nvr fails to dissappoint me. Haiz,0,negative
17407,4ab017622a,is Jay Leno`s last show tonight,1,neutral
9687,35de1abf4a, Happy Mother`s Day!,2,positive
4724,81b805d5ec, i totally felt bad for the guy. haha im good  i miss you guys!,1,neutral
20636,faae6e2fa3,"Man, looking through and packing up my books is looking at my past lives. Feeling kind of sentimental",2,positive
2199,c8ac0b9545,bad hair day,0,negative
10784,9179f61414,Thankful for last minute doc appointments... Baby girl has a temp of 105.+  sitting at the doc`s waitin`,2,positive
3246,7438c9c09a, CONGRATS on graduating college!,2,positive
2342,330cc9cd91,will be very hard to go back to work this morning- 4 straight days at disneyland tends to do that,0,negative
5853,06fad59165, : yes she got all lovey with him&he returned the love&1thing led2 another&  also  wants2 know y ur mad at her,1,neutral
4609,117a319a9d,"so bored  Gonna go to the Carnival and get an all day pass tomorrow. Excited for that, but very bored today.",0,negative
459,99b69572a8,im cold  i still cant find my hoodie,0,negative
4010,4d9f21aa14,Tomorrow i mean anna,1,neutral
17702,8581262345,  There isn`t any right now. They need to make more. Sorry.,0,negative
21836,c6cd5be87e,About to hit the hay. (who came up with that?) goodnight world and all those who inhabit it,2,positive
15961,b31f326e68, How much longer is the NKOTB Block Party? Love it! I need to go to bed so just wondering what time it`s over..LOL..thanks!,2,positive
8970,357c98b5bc,Goddamn bloody stress and **** sending my body haywire,0,negative
12382,f5c5fbc40b," If u do, please pray 4 me.  Lord knows I need it.",1,neutral
4914,ffaccf8278,"   So,  just pointed out to me that she has not been able to be involved in this convo for lack an iPhone",1,neutral
1522,dda724c540,Cleaning up the kitchen &watching the Royals play,2,positive
7020,42265e33ee,Good morning World! Happy Star Wars Day! May the 4th be with you!,2,positive
21804,ea87b6b03a,i think i like the workshop,2,positive
19323,f8201b1ce3," congrats to the A`s!! ugh, we still have til the end of june",2,positive
10673,8fd3eeca66,Instant Internet Marketing EMPIRE! + *BONUS* recoup your investment in 24 hours or less  http://megaredpacket.com/?aff_id=7891,1,neutral
21301,9e3b470a70,is it unny today or not? taking too long to decide haha. i wna get a tan,1,neutral
16734,60aafdba55,could be getting sacked soon not good,0,negative
8673,885391baa1," Thanks mate, just came on board here at Twitter ...  .. tweet up sounds great..",2,positive
8079,777182cef9,I cried...,0,negative
6535,df34c5a6a5," Would you travel to the UK for one?  The big US meets sound great, I`d love to go to one of those, so many furs & so much art",2,positive
15107,9925fc78b6,    Lmao Yes its on the 27th  I get so excited lol,2,positive
7680,1f8c694847," awww, that sucks  But they`re so awesome when you get one, all squeeky and happy. I only have one left now though",1,neutral
21100,b442e1cca8,. Awesome!  what kind?,2,positive
1441,e71a708caf,i am soo **** sick of wades mood swings... uhh i hate him.. he`s an ****!! ahhhh,0,negative
7646,c0ddd87731,_TRUESDALE lmao! you a mess.  Im gonna be in ATL in a few weeks,0,negative
21961,3d04c2b61d, all the best for your IB exams Carl. I hope you don`t find them too difficult and that they go well for you.,2,positive
14798,8767661278," BTW, `nathanfillion` is trying to beat his Flight Control score as well, maybe you should follow each other?",1,neutral
7886,c0a15c93f7,Make sure u pick up Chrisette Michele`s new album EPIPHANY in stores tomorrow May 5th! You will love it! Promise!  Congrats ,2,positive
10869,b2654142cd,And I wanted us to leave at 12:45 to do a 1 p.m. showing (staff retreat mini),1,neutral
7571,1317531567,HAPPY MOTHERS DAY TO ALL THE MOMMYS EXSPECIALLY MINE  LOVE YOU MOMMY,2,positive
21668,7a60d63a34,Why does flickr no longer recognize my e-mail addresses.  I can`t log in.,0,negative
2752,73aa4cbfbd," I had a joke for you, but it`s too long to tweet.",1,neutral
4296,7ccecc0245,_m except im on site near the airport on Dixon!  i have a lil #starbucks gps in my head hehe,1,neutral
17431,62e6477a4c, did not understand anything you said,1,neutral
9731,40b7185d99,"Early Monday,great  Rainy Monday,not so great :|",0,negative
7934,f68512137c,had a great day...and now I`m off to bed. tomorrow I`m back in sd,2,positive
13982,a74020d356, oh thank you thank you! Was hoping the video will be online,2,positive
21507,a2dd416423,getting dinner ready not much going on in my life it seems,0,negative
180,031cf55c6b, that would be most ideal. However...now I dont see myself leaving before 3  Gonna have to take a rain check,1,neutral
20096,4d6e71e475,`You Are What U Eat` isn`t EXACTLY true.. `You Are What U Digest` TodayISaProsperous &Productive Day! ThankUJesus!  BeYEBlessed! hee hee,2,positive
7733,21804d7013,#flylady Oh deary me: 15 mins not enough to rescue kitchen  I shall come back to it later so I can mow the lawn while still cool outside,1,neutral
9970,e07b4a40d1, SO jealous...see if you can get some Dallas concert tix out of her...it`s all sold out!!,0,negative
17861,295d95bb65, naisee. is it bad that i can see lens flares all arond me while listening to it? XD cant really catch what they`re saying tho,1,neutral
15495,4860f2e2d6,I`m Having a Baby Girl! (In the next 17 Days!) I think I`m gonna keep this handy  http://budurl.com/f9p5 Funny Stuff!,1,neutral
1346,1d650bb586, You`ll be waiting a loooong time,1,neutral
17687,8184061339,Making Banana Bread,1,neutral
9831,e3d9ecaab6," not so awesome now, huh? LOL",1,neutral
3310,c05493776f,Moodle Intro training this morning... ages since i`ve done that... and only 2 bookings,1,neutral
3256,3d2ace4993,Someone fly me to Reno,1,neutral
19938,b5f306cbdb,All I want is to see him tonight.  and I know it`s not gonna happen.,1,neutral
14066,0a3e8646ed,_Bill2030 And good morning to you too.,2,positive
13463,fff44ae9f9,_Cullen oh really!!! i`ve already put all the pics up!! sorry!!   http://twitpic.com/61oj0,0,negative
7930,8ef711a29d,just woke up and feeling real good cause of krispy kreme. I WANT ME SOME DOUGHNUTS,2,positive
10933,3ca99f60e0,I want to play audition with Anna ~ -mHc-SMOOCH,1,neutral
8929,f69c2e0fd2, You`re welcome...,2,positive
10269,037e4d6cc0,not really in the twitter mood today... i don`t know what to do,1,neutral
3623,24c4da6c80," Were done so much for them, then brazilians ha! but no meh, i think they love the other countries more then the UK",2,positive
3826,a5882c9098," You were absolutely amazing in the Wolverine  you`re sooo beautiful !! you`re also such an amazing person, i look up to u",2,positive
14505,e6bf7c13e3, Made so many new friends on Twitter around USA. Another bike across USA trip would be amazing to see people!,2,positive
655,a68317e582,Watching cartoons.....,1,neutral
19789,0332fe0709, love it! Really its simple i think of a word and put twi on the front i should be more clever,2,positive
10430,dbc8781cba,and were going to pune tomorrow,1,neutral
11175,a5d4af0d80,michelle is a hot mama with chichis grande,1,neutral
409,d78480b629,At work but punchy due to two early morning pager events.,1,neutral
11361,71936325e0, nowhere babe  ice come to do a few jobs here this morning *sigh*,1,neutral
18021,c820c3661d, eh...I might drive through Chi-town on my way to Colorado....maybe I`ll get one then.,1,neutral
18669,48b76ce5f4,has the day open until 4. don`t know what to do. everyone is leaving today,1,neutral
10990,49a3b7288b, I`m glad/sad that it`s not just me/my iPhone  #badoptus,1,neutral
11008,f3c809719d,http://twitpic.com/4j9eo this is  how it looks at nights,1,neutral
7729,1a9451c9e4,My poor phone is nekkid without its cover.,0,negative
2235,aebcb91e4a,"10pm tonight, International Space Station will by over head, through most of Texas at least",1,neutral
14558,75c32ca012, britta says she wants to have lunch with you too,1,neutral
7654,f5bb526d5d,Working   But it`s Fridaaaayyyyy,1,neutral
4707,b2986c944a,"done with the fkn exam! n just bought the mothers day gift, finally... tada! the new prada fragrance  going to meet up mum n fam now : ...",1,neutral
20376,968964a722, hahahah of course  they have such a nasty display picture :`),0,negative
10092,bf089e12c5,cheeks bakery just closed  crazy how williamsburg can support an infinite # of boutiques w/bad clothes and not one decent place 4 a scone,0,negative
21109,81f3ac4452,4th may officially announced as `bad luck day` ..,0,negative
21663,0b1abd00c2,"I promise to post new mini magical village today, the weather is perfect for it   See preview here: http://pengpengsplace.blogspot.com",2,positive
14131,f73dc7b2c2, it would be cool if they had people make videos of themselves miming the song and make one big video  so EVERYONE can be in it.,2,positive
13852,7ad7ac7860,"_Coleman Looks a little too 'fried' for me, but you have fun with that, Paul!",2,positive
5525,267f33a9a4,A friend is someone who will help you move. A real friend is someone who will help you move a body,2,positive
20427,f3117413cc, i agree with you!,2,positive
19149,f8cc1d84d3,"sitting here with Nathan, Eddie & Brenden chilling out at 1 AM, haha great day, I love my life!",2,positive
19012,b28fe5e1b7,_y time really flies my frd..how`s you love-hunting mission going? abt time to bring the sexy 'yu yung' jacket out,1,neutral
7330,6302e51369, awwww this made me realize I have to take down my bulletin board too!  There`s so many memories up there.,2,positive
5593,8140f3d608,At TGC concert  good to see old friends and remember the old times!,2,positive
9578,ee9ec7a5a4," Hey, you change your twitter account, and you didn`t even tell me...",1,neutral
10180,f191893c0e,Already misses the Dunhams.,0,negative
4194,c72f960f31," Kayyy XD Yeah, everyone always talks about the part where the dog dies  I need to find a movie that you haven`t seen now XD",1,neutral
6438,2c01db3fd6, you didn`t include  in the 'Follow Friday',1,neutral
